Themes ,ColName,TotalColForPerc,PercentageOf,Description of Field,Label,LatexTableTitle,Rank,Table
,T4_1_3PF,T4_1_TF,Families,3 persons (No. of families),Missing,Missing,Missing,"Families, family members and children in families, by size of family"
,T4_1_4PF,T4_1_TF,Families,4 persons (No. of families),Missing,Missing,Missing,"Families, family members and children in families, by size of family"
,T4_1_5PF,T4_1_TF,Families,5 persons (No. of families),Missing,Missing,Missing,"Families, family members and children in families, by size of family"
,T4_1_GRE_6PF,T4_1_TF,Families,6 or more persons (No. of families),Missing,Missing,Missing,"Families, family members and children in families, by size of family"
,T4_1_TF,T4_1_TF,Families,Total (No. of families),Missing,Missing,Missing,"Families, family members and children in families, by size of family"
,T4_1_2PP,T4_1_TP,Persons,2 persons (No. of persons),Missing,Missing,Missing,"Families, family members and children in families, by size of family"
,T4_1_3PP,T4_1_TP,Persons,3 persons (No. of persons),Missing,Missing,Missing,"Families, family members and children in families, by size of family"
,T4_1_4PP,T4_1_TP,Persons,4 persons (No. of persons),Missing,Missing,Missing,"Families, family members and children in families, by size of family"
,T4_1_5PP,T4_1_TP,Persons,5 persons (No. of persons),Missing,Missing,Missing,"Families, family members and children in families, by size of family"
,T4_1_GRE_6PP,T4_1_TP,Persons,6 or more persons (No. of persons),Missing,Missing,Missing,"Families, family members and children in families, by size of family"
,T4_1_TP,T4_1_TP,Persons,Total (No. of persons),Missing,Missing,Missing,"Families, family members and children in families, by size of family"
,T4_1_2PC,T4_1_TC,Children,2 persons (No. of children),Missing,Missing,Missing,"Families, family members and children in families, by size of family"
,T4_1_3PC,T4_1_TC,Children,3 persons (No. of children),Missing,Missing,Missing,"Families, family members and children in families, by size of family"
,T4_1_4PC,T4_1_TC,Children,4 persons (No. of children),Missing,Missing,Missing,"Families, family members and children in families, by size of family"
,T4_1_5PC,T4_1_TC,Children,5 persons (No. of children),Missing,Missing,Missing,"Families, family members and children in families, by size of family"
,T4_1_GRE_6PC,T4_1_TC,Children,6 or more persons (No. of children),Missing,Missing,Missing,"Families, family members and children in families, by size of family"
,T4_1_TC,T4_1_TC,Children,Total (No. of children),Missing,Missing,Missing,"Families, family members and children in families, by size of family"
Theme 4: Families ,T4_2_1CU15,T4_2_TCT,Family Units With Children,Families with 1 child - All children aged under 15,Missing,Missing,Missing,Family units with children by size and age of children 
,T4_2_2CU15,T4_2_TCT,Family Units With Children,Families with 2 children - All children aged under 15,Missing,Missing,Missing,Family units with children by size and age of children 
,T4_2_3CU15,T4_2_TCT,Family Units With Children,Familes with 3 children - All children aged under 15,Missing,Missing,Missing,Family units with children by size and age of children 
,T4_2_4CU15,T4_2_TCT,Family Units With Children,Families with 4 children - All children aged under 15,Missing,Missing,Missing,Family units with children by size and age of children 
,T4_2_GE5CU15,T4_2_TCT,Family Units With Children,Families with 5 or more children - All children aged under 15,Missing,Missing,Missing,Family units with children by size and age of children 
,T4_2_TCU15,T4_2_TCT,Family Units With Children,Total families - All children aged under 15,Missing,Missing,Missing,Family units with children by size and age of children 
,T4_2_1CO15,T4_2_TCT,Family Units With Children,Families with 1 child - All children aged 15 and over,Missing,Missing,Missing,Family units with children by size and age of children 
,T4_2_2CO15,T4_2_TCT,Family Units With Children,Families with 2 children - All children aged 15 and over,Missing,Missing,Missing,Family units with children by size and age of children 
,T4_2_3CO15,T4_2_TCT,Family Units With Children,Familes with 3 children - All children aged 15 and over,Missing,Missing,Missing,Family units with children by size and age of children 
,T4_2_4CO15,T4_2_TCT,Family Units With Children,Families with 4 children - All children aged 15 and over,Missing,Missing,Missing,Family units with children by size and age of children 
,T4_2_GE5CO15,T4_2_TCT,Family Units With Children,Families with 5 or more children - All children aged 15 and over,Missing,Missing,Missing,Family units with children by size and age of children 
,T4_2_TCO15,T4_2_TCT,Family Units With Children,Total families - All children aged 15 and over,Missing,Missing,Missing,Family units with children by size and age of children 
,T4_2_2CUO15,T4_2_TCT,Family Units With Children,Families with 2 children - All children aged both under 15 and 15 and over,Missing,Missing,Missing,Family units with children by size and age of children 
,T4_2_3CUO15,T4_2_TCT,Family Units With Children,Familes with 3 children - All children aged both under 15 and 15 and over,Missing,Missing,Missing,Family units with children by size and age of children 
,T4_2_4CUO15,T4_2_TCT,Family Units With Children,Families with 4 children - All children aged both under 15 and 15 and over,Missing,Missing,Missing,Family units with children by size and age of children 
,T4_2_GE5CUO15,T4_2_TCT,Family Units With Children,Families with 5 or more children - All children aged both under 15 and 15 and over,Missing,Missing,Missing,Family units with children by size and age of children 
,T4_2_TCUO15,T4_2_TCT,Family Units With Children,Total families - All children aged both under 15 and 15 and over,Missing,Missing,Missing,Family units with children by size and age of children 
,T4_2_TCT,T4_2_TCT,Family Units With Children,Total families - Total,Missing,Missing,Missing,Family units with children by size and age of children 
Theme 4: Families ,T4_3FCCU15,T4_2_TCT,Family Units With Children,Couples with all children aged under 15 (No. of families),Missing,Missing,Missing,Family units with children by type of family and age of children
,T4_3FCCO15,T4_2_TCT,Family Units With Children,Couples with all children aged 15 and over (No. of families),Missing,Missing,Missing,Family units with children by type of family and age of children
,T4_3FCCUO15,T4_2_TCT,Family Units With Children,Couples with all children aged both under 15 and 15 and over (No. of families),Missing,Missing,Missing,Family units with children by type of family and age of children
,T4_3FOPMCU15,T4_2_TCT,Family Units With Children,One parent family (mother) with all children aged under 15 (No. of families),Missing,Missing,Missing,Family units with children by type of family and age of children
,T4_3FOPMCO15,T4_2_TCT,Family Units With Children,One parent family (mother) with all children aged 15 and over (No. of families),Missing,Missing,Missing,Family units with children by type of family and age of children
,T4_3FOPMCUO15,T4_2_TCT,Family Units With Children,One parent family (mother) with all children aged both under 15 and 15 and over (No. of families),Missing,Missing,Missing,Family units with children by type of family and age of children
,T4_3FOPFCU15,T4_2_TCT,Family Units With Children,One parent family (father) with all children aged under 15 (No. of families),Missing,Missing,Missing,Family units with children by type of family and age of children
,T4_3FOPFCO15,T4_2_TCT,Family Units With Children,One parent family (father) with all children aged 15 and over (No. of families),Missing,Missing,Missing,Family units with children by type of family and age of children
,T4_3FOPFCUO15,T4_2_TCT,Family Units With Children,One parent family (father) with all children aged both under 15 and 15 and over (No. of families),Missing,Missing,Missing,Family units with children by type of family and age of children
,T4_3CCCU15,T4_2_TCT,Family Units With Children,Couples with all children aged under 15 (No. of children),Missing,Missing,Missing,Family units with children by type of family and age of children
,T4_3CCCO15,T4_2_TCT,Family Units With Children,Couples with all children aged 15 and over (No. of children),Missing,Missing,Missing,Family units with children by type of family and age of children
,T4_3CCCUO15,T4_2_TCT,Family Units With Children,Couples with all children aged both under 15 and 15 and over (No. of children),Missing,Missing,Missing,Family units with children by type of family and age of children
,T4_3CCCT,T4_2_TCT,Family Units With Children,Total couples with children (No. of children),Missing,Missing,Missing,Family units with children by type of family and age of children
,T4_3COPMCU15,T4_2_TCT,Family Units With Children,One parent family (mother) with all children aged under 15 (No. of children),Missing,Missing,Missing,Family units with children by type of family and age of children
,T4_3COPMCO15,T4_2_TCT,Family Units With Children,One parent family (mother) with all children aged 15 and over (No. of children),Missing,Missing,Missing,Family units with children by type of family and age of children
,T4_3COPMCUO15,T4_2_TCT,Family Units With Children,One parent family (mother) with all children aged both under 15 and 15 and over (No. of children),Missing,Missing,Missing,Family units with children by type of family and age of children
,T4_3COPMCT,T4_2_TCT,Family Units With Children,Total one parent family (mother) with children (No. of children),Missing,Missing,Missing,Family units with children by type of family and age of children
,T4_3COPFCU15,T4_2_TCT,Family Units With Children,One parent family (father) with all children aged under 15 (No. of children),Missing,Missing,Missing,Family units with children by type of family and age of children
,T4_3COPFCO15,T4_2_TCT,Family Units With Children,One parent family (father) with all children aged 15 and over (No. of children),Missing,Missing,Missing,Family units with children by type of family and age of children
,T4_3COPFCUO15,T4_2_TCT,Family Units With Children,One parent family (father) with all children aged both under 15 and 15 and over (No. of children),Missing,Missing,Missing,Family units with children by type of family and age of children
,T4_3COPFCT,T4_2_TCT,Family Units With Children,Total one parent family (father) with children (No. of children),Missing,Missing,Missing,Family units with children by type of family and age of children
,T4_4TF,T4_4TF,Families,Total  (No. of families),Missing,Missing,Missing,Families by age of youngest child 
,T4_4AGE0_4P,T4_4TP,Persons,Families with youngest child aged 0 - 4 (No. of persons),Missing,Missing,Missing,Families by age of youngest child 
,T4_4AGE5_9P,T4_4TP,Persons,Families with youngest child aged 5 - 9 (No. of persons),Missing,Missing,Missing,Families by age of youngest child 
,T4_4AGE10_14P,T4_4TP,Persons,Families with youngest child aged 10 - 14 (No. of persons),Missing,Missing,Missing,Families by age of youngest child 
,T4_4AGE15_19P,T4_4TP,Persons,Families with youngest child aged 15 - 19 (No. of persons),Missing,Missing,Missing,Families by age of youngest child 
,T4_4AGE_GE20P,T4_4TP,Persons,Families with youngest child aged 20 and over (No. of persons),Missing,Missing,Missing,Families by age of youngest child 
,T4_4TP,T4_4TP,Persons,Total  (No. of persons),Missing,Missing,Missing,Families by age of youngest child 
,T4_5TF,T4_5TF,Families,Total (No. of families),Missing,Missing,Missing,Families by family cycle 
,T4_5PFP,T4_5TP,Persons,Pre-family (No. of persons),Missing,Missing,Missing,Families by family cycle 
,T4_5ENP,T4_5TP,Persons,Empty nest (No. of persons),Missing,Missing,Missing,Families by family cycle 
,T4_5RP,T4_5TP,Persons,Retired (No. of persons),Missing,Missing,Missing,Families by family cycle 
,T4_5PSP,T4_5TP,Persons,Pre-school (No. of persons),Missing,Missing,Missing,Families by family cycle 
,T4_5ESP,T4_5TP,Persons,Early school (No. of persons),Missing,Missing,Missing,Families by family cycle 
,T4_5PAP,T4_5TP,Persons,Pre-adolescent (No. of persons),Missing,Missing,Missing,Families by family cycle 
,T4_5ADOP,T4_5TP,Persons,Adolescent (No. of persons),Missing,Missing,Missing,Families by family cycle 
,T4_5ADUP,T4_5TP,Persons,Adult (No. of persons),Missing,Missing,Missing,Families by family cycle 
,T4_5TP,T4_5TP,Persons,Total (No. of persons),Missing,Missing,Missing,Families by family cycle 
Theme 5: Private Households ,T5_1OP_H,T5_1T_H,Private Households,One person households (No. of households),Missing,Missing,Missing,Private households by type
,T5_1CCO_H,T5_1T_H,Private Households,Couple with children and others households (No. of households),Missing,Missing,Missing,Private households by type
,T5_1OPFCO_H,T5_1T_H,Private Households,One parent family (father) with children and others households (No. of households),Missing,Missing,Missing,Private households by type
,T5_1OPMCO_H,T5_1T_H,Private Households,One parent family (mother) with children and others households (No. of households),Missing,Missing,Missing,Private households by type
,T5_1GETFU_H,T5_1T_H,Private Households,Two or more family units households (No. of households),Missing,Missing,Missing,Private households by type
,T5_1NHR_H,T5_1T_H,Private Households,Non-family households and relations households (No. of households),Missing,Missing,Missing,Private households by type
,T5_1T_H,T5_1T_H,Private Households,Total households (No. of households),Missing,Missing,Missing,Private households by type
,T5_1OP_P,T5_1T_P,Persons,One person households (No. of persons),Missing,Missing,Missing,Private households by type
,T5_1MC_P,T5_1T_P,Persons,Married couple households (No. of persons),Missing,Missing,Missing,Private households by type
,T5_1CC_P,T5_1T_P,Persons,Cohabiting couple households (No. of persons),Missing,Missing,Missing,Private households by type
,T5_1MCC_P,T5_1T_P,Persons,Married couple with children households (No. of persons),Missing,Missing,Missing,Private households by type
,T5_1CCC_P,T5_1T_P,Persons,Cohabiting couple with children households (No. of persons),Missing,Missing,Missing,Private households by type
,T5_1OPFC_P,T5_1T_P,Persons,One parent family (father) with  children households (No. of persons),Missing,Missing,Missing,Private households by type
,T5_1OPMC_P,T5_1T_P,Persons,One parent family (mother) and children households (No. of persons),Missing,Missing,Missing,Private households by type
,T5_1CO_P,T5_1T_P,Persons,Couple and others households (No. of persons),Missing,Missing,Missing,Private households by type
,T5_1CCO_P,T5_1T_P,Persons,Couple with children and others households (No. of persons),Missing,Missing,Missing,Private households by type
,T5_1OPFCO_P,T5_1T_P,Persons,One parent family (father) with children and others households (No. of persons),Missing,Missing,Missing,Private households by type
,T5_1OPMCO_P,T5_1T_P,Persons,One parent family (mother) with children and others households (No. of persons),Missing,Missing,Missing,Private households by type
,T5_1GETFU_P,T5_1T_P,Persons,Two or more family units households (No. of persons),Missing,Missing,Missing,Private households by type
,T5_1NHR_P,T5_1T_P,Persons,Non-family households and relations households (No. of persons),Missing,Missing,Missing,Private households by type
,T5_1GENP_P,T5_1T_P,Persons,Two or more non-related persons households (No. of persons),Missing,Missing,Missing,Private households by type
,T5_1T_P,T5_1T_P,Persons,Total households (No. of persons),Missing,Missing,Missing,Private households by type
,T5_2_TH,T5_2_TH,Private Households,Total households (No. of households),Missing,Missing,Missing,Private households by size 
,T5_2_1PP,T5_2_TP,Persons,1 person households (No. of persons),Missing,Missing,Missing,Private households by size 
,T5_2_2PP,T5_2_TP,Persons,2 person households (No. of persons),Missing,Missing,Missing,Private households by size 
,T5_2_3PP,T5_2_TP,Persons,3 person households (No. of persons),Missing,Missing,Missing,Private households by size 
,T5_2_4PP,T5_2_TP,Persons,4 person households (No. of persons),Missing,Missing,Missing,Private households by size 
,T5_2_5PP,T5_2_TP,Persons,5 person households (No. of persons),Missing,Missing,Missing,Private households by size 
,T5_2_6PP,T5_2_TP,Persons,6 person households (No. of persons),Missing,Missing,Missing,Private households by size 
,T5_2_7PP,T5_2_TP,Persons,7 person households (No. of persons),Missing,Missing,Missing,Private households by size 
,T5_2_GE8PP,T5_2_TP,Persons,8 or more persons households (No. of persons),Missing,Missing,Missing,Private households by size 
,T5_2_TP,T5_2_TP,Persons,Total households (No. of persons),Missing,Missing,Missing,Private households by size 
,T6_1_TH,T6_1_TH,Private Households,Total (No. of households),Missing,Missing,Missing,Private households by type of accommodation 
,T6_1_HB_P,T6_1_TP,Persons,House/Bungalow (No. of persons),Missing,Missing,Missing,Private households by type of accommodation 
,T6_1_FA_P,T6_1_TP,Persons,Flat/Apartment (No. of persons),Missing,Missing,Missing,Private households by type of accommodation 
,T6_1_BS_P,T6_1_TP,Persons,Bed-Sit (No. of persons),Missing,Missing,Missing,Private households by type of accommodation 
,T6_1_CM_P,T6_1_TP,Persons,Caravan/Mobile home (No. of persons),Missing,Missing,Missing,Private households by type of accommodation 
,T6_1_TP,T6_1_TP,Persons,Total (No. of persons),Missing,Missing,Missing,Private households by type of accommodation 
,T6_2_NSH,T6_2_TH,Permanent Private Households,Not stated (No. of households),Missing,Missing,Missing,Permanent private households by year built 
,T6_2_TH,T6_2_TH,Permanent Private Households,Total (No. of households),Missing,Missing,Missing,Permanent private households by year built 
,T6_2_PRE19P,T6_2_TP,Persons,Pre 1919 (No. of persons),Missing,Missing,Missing,Permanent private households by year built 
,T6_2_19_45P,T6_2_TP,Persons,1919 - 1945 (No. of persons),Missing,Missing,Missing,Permanent private households by year built 
,T6_2_46_60P,T6_2_TP,Persons,1946 - 1960 (No. of persons),Missing,Missing,Missing,Permanent private households by year built 
,T6_2_61_70P,T6_2_TP,Persons,1961 - 1970 (No. of persons),Missing,Missing,Missing,Permanent private households by year built 
,T6_2_71_80P,T6_2_TP,Persons,1971 - 1980 (No. of persons),Missing,Missing,Missing,Permanent private households by year built 
,T6_2_81_90P,T6_2_TP,Persons,1981 - 1990 (No. of persons),Missing,Missing,Missing,Permanent private households by year built 
,T6_2_91_00P,T6_2_TP,Persons,1991 - 2000 (No. of persons),Missing,Missing,Missing,Permanent private households by year built 
,T6_2_01_10P,T6_2_TP,Persons,2001 - 2010 (No. of persons),Missing,Missing,Missing,Permanent private households by year built 
,T6_2_11_15P,T6_2_TP,Persons,2011 or 2015 (No. of persons),Missing,Missing,Missing,Permanent private households by year built 
,T6_2_16LP,T6_2_TP,Persons,2016 or later  (No. of persons),Missing,Missing,Missing,Permanent private households by year built 
Theme 6: Housing ,T6_2_NSP,T6_2_TP,Persons,Not stated (No. of persons),Missing,Missing,Missing,Permanent private households by type of occupancy 
,T6_2_TP,T6_2_TP,Persons,Total (No. of persons),Missing,Missing,Missing,Permanent private households by type of occupancy 
,T6_3_NSH,T6_3_TH,Permanent Private Households,Not stated (No. of households),Missing,Missing,Missing,Permanent private households by type of occupancy 
,T6_3_TH,T6_3_TH,Permanent Private Households,Total (No. of households),Missing,Missing,Missing,Permanent private households by type of occupancy 
,T6_3_OMLP,T6_3_TP,Persons,Owned with mortgage or loan (No. of persons),Missing,Missing,Missing,Permanent private households by type of occupancy 
,T6_3_OOP,T6_3_TP,Persons,Owned outright (No. of persons),Missing,Missing,Missing,Permanent private households by type of occupancy 
,T6_3_RPLP,T6_3_TP,Persons,Rented from private landlord (No. of persons) ,Missing,Missing,Missing,Permanent private households by type of occupancy 
,T6_3_RLAP,T6_3_TP,Persons,Rented from Local Authority (No. of persons),Missing,Missing,Missing,Permanent private households by type of occupancy 
,T6_3_RVCHBP,T6_3_TP,Persons,Rented from voluntary/co-operative housing body (No. of persons),Missing,Missing,Missing,Permanent private households by type of occupancy 
,T6_3_OFRP,T6_3_TP,Persons,Occupied free of rent (No. of persons),Missing,Missing,Missing,Permanent private households by type of occupancy 
,T6_3_NSP,T6_3_TP,Persons,Not stated (No. of persons),Missing,Missing,Missing,Permanent private households by type of occupancy 
,T6_3_TP,T6_3_TP,Persons,Total (No. of persons),Missing,Missing,Missing,Permanent private households by type of occupancy 
,T6_4_NSH,T6_4_TH,Permanent Private Households,Not stated (No. of households),Missing,Missing,Missing,Permanent private households by number of rooms 
,T6_4_TH,T6_4_TH,Permanent Private Households,Total (No. of households),Missing,Missing,Missing,Permanent private households by number of rooms 
,T6_4_1RP,T6_4_TP,Persons,1 room (No. of persons),Missing,Missing,Missing,Permanent private households by number of rooms 
,T6_4_2RP,T6_4_TP,Persons,2 rooms (No. of persons),Missing,Missing,Missing,Permanent private households by number of rooms 
,T6_4_3RP,T6_4_TP,Persons,3 rooms (No. of persons),Missing,Missing,Missing,Permanent private households by number of rooms 
,T6_4_4RP,T6_4_TP,Persons,4 rooms (No. of persons),Missing,Missing,Missing,Permanent private households by number of rooms 
,T6_4_5RP,T6_4_TP,Persons,5 rooms (No. of persons),Missing,Missing,Missing,Permanent private households by number of rooms 
,T6_4_6RP,T6_4_TP,Persons,6 rooms (No. of persons),Missing,Missing,Missing,Permanent private households by number of rooms 
,T6_4_7RP,T6_4_TP,Persons,7 rooms (No. of persons),Missing,Missing,Missing,Permanent private households by number of rooms 
,T6_4_GE8RP,T6_4_TP,Persons,8 or more rooms (No. of persons),Missing,Missing,Missing,Permanent private households by number of rooms 
,T6_4_NSP,T6_4_TP,Persons,Not stated (No. of persons),Missing,Missing,Missing,Permanent private households by number of rooms 
,T6_4_TP,T6_4_TP,Persons,Total (No. of persons),Missing,Missing,Missing,Permanent private households by number of rooms 
,T6_5_OCH,T6_5_T,Permanent Private Households,Oil,Missing,Missing,Missing,Permanent private households by central heating 
,T6_5_NGCH,T6_5_T,Permanent Private Households,Natural gas,Missing,Missing,Missing,Permanent private households by central heating 
,T6_5_ECH,T6_5_T,Permanent Private Households,Electricity,Missing,Missing,Missing,Permanent private households by central heating 
,T6_5_CCH,T6_5_T,Permanent Private Households,Coal (incl. anthracite),Missing,Missing,Missing,Permanent private households by central heating 
,T6_5_PCH,T6_5_T,Permanent Private Households,Peat (incl. turf),Missing,Missing,Missing,Permanent private households by central heating 
,T6_5_LPGCH,T6_5_T,Permanent Private Households,Liquid petroleum gas (LPG),Missing,Missing,Missing,Permanent private households by central heating 
,T6_5_WCH,T6_5_T,Permanent Private Households,Wood (incl. wood pellets),Missing,Missing,Missing,Permanent private households by central heating 
,T6_5_OTH,T6_5_T,Permanent Private Households,Other,Missing,Missing,Missing,Permanent private households by central heating 
,T6_5_NS,T6_5_T,Permanent Private Households,Not stated,Missing,Missing,Missing,Permanent private households by central heating 
,T6_5_T,T6_5_T,Permanent Private Households,Total,Missing,Missing,Missing,Permanent private households by central heating 
,T6_6_NS,T6_6_T,Permanent Private Households,Not stated,Missing,Missing,Missing,Permanent private households by water supply 
,T6_6_T,T6_6_T,Permanent Private Households,Total,Missing,Missing,Missing,Permanent private households by water supply 
Theme 6: Housing ,T6_7_PS,T6_7_T,Permanent Private Households,Public scheme,Missing,Missing,Missing,Permanent private households by sewerage facility 
,T6_7_IST,T6_7_T,Permanent Private Households,Individual septic tank,Missing,Missing,Missing,Permanent private households by sewerage facility 
,T6_7_OIT,T6_7_T,Permanent Private Households,Other individual treatment,Missing,Missing,Missing,Permanent private households by sewerage facility 
,T6_7_OTH,T6_7_T,Permanent Private Households,Other,Missing,Missing,Missing,Permanent private households by sewerage facility 
,T6_7_NSF,T6_7_T,Permanent Private Households,No sewerage facility,Missing,Missing,Missing,Permanent private households by sewerage facility 
,T6_7_NS,T6_7_T,Permanent Private Households,Not stated,Missing,Missing,Missing,Permanent private households by sewerage facility 
,T6_7_T,T6_7_T,Permanent Private Households,Total,Missing,Missing,Missing,Permanent private households by sewerage facility 
,T6_8_T,T6_8_T,Permanent Dwellings,Total,Missing,Missing,Missing,Occupancy status of permanent dwellings on Census night
Theme 6: Housing ,T6_9_0BRH,T6_9_TH,Permanent Private Households,0 Bedrooms (No. of households),Missing,Missing,Missing,Permanent private households by number of bedrooms 
,T6_9_1BRH,T6_9_TH,Permanent Private Households,1 bedroom (No. of households),Missing,Missing,Missing,Permanent private households by number of bedrooms 
,T6_9_2BRH,T6_9_TH,Permanent Private Households,2 bedrooms (No. of households),Missing,Missing,Missing,Permanent private households by number of bedrooms 
,T6_9_3BRH,T6_9_TH,Permanent Private Households,3 bedrooms (No. of households),Missing,Missing,Missing,Permanent private households by number of bedrooms 
,T6_9_4BRH,T6_9_TH,Permanent Private Households,4 bedrooms (No. of households),Missing,Missing,Missing,Permanent private households by number of bedrooms 
,T6_9_GE5BRH,T6_9_TH,Permanent Private Households,5 bedrooms (No. of households),Missing,Missing,Missing,Permanent private households by number of bedrooms 
,T6_9_NSH,T6_9_TH,Permanent Private Households,Non stated (No. of households),Missing,Missing,Missing,Permanent private households by number of bedrooms 
,T6_9_TH,T6_9_TH,Permanent Private Households,Total (No. of households),Missing,Missing,Missing,Permanent private households by number of bedrooms 
,T6_9_0BRP,T6_9_TP,Persons,0 Bedrooms (No. of persons),Missing,Missing,Missing,Permanent private households by number of bedrooms 
,T6_9_1BRP,T6_9_TP,Persons,1 bedroom (No. of persons),Missing,Missing,Missing,Permanent private households by number of bedrooms 
,T6_9_2BRP,T6_9_TP,Persons,2 rooms (No. of persons),Missing,Missing,Missing,Permanent private households by number of bedrooms 
,T6_9_3BRP,T6_9_TP,Persons,3 bedrooms (No. of persons),Missing,Missing,Missing,Permanent private households by number of bedrooms 
,T6_9_4BRP,T6_9_TP,Persons,4 bedrooms (No. of persons),Missing,Missing,Missing,Permanent private households by number of bedrooms 
,T6_9_GE5BRP,T6_9_TP,Persons,5 bedrooms (No. of persons),Missing,Missing,Missing,Permanent private households by number of bedrooms 
,T6_9_NSP,T6_9_TP,Persons,Non stated (No. of persons),Missing,Missing,Missing,Permanent private households by number of bedrooms 
,T6_9_TP,T6_9_TP,Persons,Total (No. of Persons),Missing,Missing,Missing,Permanent private households by number of bedrooms 
,T6_10_NORE,T6_10_T,Permanent Private Households,No Renewable Energy,Missing,Missing,Missing,Permanent private households by number of renewables
,T6_10_NS,T6_10_T,Permanent Private Households,Not stated,Missing,Missing,Missing,Permanent private households by number of renewables
,T6_10_T,T6_10_T,Permanent Private Households,Total Renewables,Missing,Missing,Missing,Permanent private households by number of renewables
Theme 6: Housing ,T6_11_GE1SA,T6_11_T,Permanent Private Households,Has at least 1 smoke alarm,Missing,Missing,Missing,Permanent private households by smoke alarms
,T6_11_NOSA,T6_11_T,Permanent Private Households,No smoke alarms,Missing,Missing,Missing,Permanent private households by smoke alarms
,T6_11_NS,T6_11_T,Permanent Private Households,Not stated,Missing,Missing,Missing,Permanent private households by smoke alarms
,T6_11_T,T6_11_T,Permanent Private Households,Total,Missing,Missing,Missing,Permanent private households by smoke alarms
Theme 8: Principal Status ,T8_1_WM,T8_1_TM,Males aged 15+,At work - Males,Missing,Missing,Missing,Population aged 15 years and over by principal economic status and sex 
,T8_1_LFFJM,T8_1_TM,Males aged 15+,Looking for first regular job - Males,Missing,Missing,Missing,Population aged 15 years and over by principal economic status and sex 
,T8_1_STUM,T8_1_TM,Males aged 15+,short Term Unemployed  - Males,Missing,Missing,Missing,Population aged 15 years and over by principal economic status and sex 
,T8_1_LTUM,T8_1_TM,Males aged 15+,Long Term Unemployed - Males,Missing,Missing,Missing,Population aged 15 years and over by principal economic status and sex 
,T8_1_SM,T8_1_TM,Males aged 15+,Student - Males,Missing,Missing,Missing,Population aged 15 years and over by principal economic status and sex 
,T8_1_LAHFM,T8_1_TM,Males aged 15+,Looking after home/family - Males,Missing,Missing,Missing,Population aged 15 years and over by principal economic status and sex 
,T8_1_RM,T8_1_TM,Males aged 15+,Retired - Males,Missing,Missing,Missing,Population aged 15 years and over by principal economic status and sex 
,T8_1_UTWSDM,T8_1_TM,Males aged 15+,Unable to work due to permanent sickness or disability - Males,Missing,Missing,Missing,Population aged 15 years and over by principal economic status and sex 
,T8_1_OTHM,T8_1_TM,Males aged 15+,Other - Males,Missing,Missing,Missing,Population aged 15 years and over by principal economic status and sex 
,T8_1_TM,T8_1_TM,Males aged 15+,Total - Males,Missing,Missing,Missing,Population aged 15 years and over by principal economic status and sex 
,T8_1_WF,T8_1_TF,Females aged 15+,At work - Females,Missing,Missing,Missing,Population aged 15 years and over by principal economic status and sex 
,T8_1_LFFJF,T8_1_TF,Females aged 15+,Looking for first regular job - Females,Missing,Missing,Missing,Population aged 15 years and over by principal economic status and sex 
,T8_1_STUF,T8_1_TF,Females aged 15+,short Term Unemployed  - Females,Missing,Missing,Missing,Population aged 15 years and over by principal economic status and sex 
,T8_1_LTUF,T8_1_TF,Females aged 15+,Long Term Unemployed - Females,Missing,Missing,Missing,Population aged 15 years and over by principal economic status and sex 
,T8_1_SF,T8_1_TF,Females aged 15+,Student - Females,Missing,Missing,Missing,Population aged 15 years and over by principal economic status and sex 
,T8_1_LAHFF,T8_1_TF,Females aged 15+,Looking after home/family - Females,Missing,Missing,Missing,Population aged 15 years and over by principal economic status and sex 
,T8_1_RF,T8_1_TF,Females aged 15+,Retired - Females,Missing,Missing,Missing,Population aged 15 years and over by principal economic status and sex 
,T8_1_UTWSDF,T8_1_TF,Females aged 15+,Unable to work due to permanent sickness or disability - Females,Missing,Missing,Missing,Population aged 15 years and over by principal economic status and sex 
,T8_1_OTHF,T8_1_TF,Females aged 15+,Other - Females,Missing,Missing,Missing,Population aged 15 years and over by principal economic status and sex 
,T8_1_TF,T8_1_TF,Females aged 15+,Total - Females,Missing,Missing,Missing,Population aged 15 years and over by principal economic status and sex 
,T8_1_TT,T8_1_TT,Persons aged 15+,Total,Missing,Missing,Missing,Population aged 15 years and over by principal economic status and sex 
Theme 9: Social Class and Socio-Economic Group ,T9_1_PWM,T9_1_TM,Males,Professional workers - Males,Missing,Missing,Missing,Population by sex and social class
,T9_1_MTM,T9_1_TM,Males,Managerial and technical - Males,Missing,Missing,Missing,Population by sex and social class
,T9_1_NMM,T9_1_TM,Males,Non-manual - Males,Missing,Missing,Missing,Population by sex and social class
,T9_1_SM,T9_1_TM,Males,Skilled manual - Males,Missing,Missing,Missing,Population by sex and social class
,T9_1_SSM,T9_1_TM,Males,Semi-skilled - Males,Missing,Missing,Missing,Population by sex and social class
,T9_1_USM,T9_1_TM,Males,Unskilled - Males,Missing,Missing,Missing,Population by sex and social class
,T9_1_OTHGEUM,T9_1_TM,Males,All others gainfully occupied and unknown - Males,Missing,Missing,Missing,Population by sex and social class
,T9_1_TM,T9_1_TM,Males,Total - Males,Missing,Missing,Missing,Population by sex and social class
,T9_1_PWF,T9_1_TF,Females,Professional workers - Females,Missing,Missing,Missing,Population by sex and social class
,T9_1_MTF,T9_1_TF,Females,Managerial and technical - Females,Missing,Missing,Missing,Population by sex and social class
