SA,PCT,CHO_CHN_No,CHN,CST_No,CST,IHA_No,IHA,Region,HR_abbr
217037001,Cahir 1,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217037002,Cahir 1,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217038001,Cahir 1,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217038002,Cahir 1,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217038003,Cahir 1,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217038004,Cahir 1,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217038005,Cahir 1,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217039001,Tipperary 1,CHO 5 - 4,Central Tipperary,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217039002,Tipperary 1,CHO 5 - 4,Central Tipperary,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217039003,Tipperary 1,CHO 5 - 4,Central Tipperary,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217040001,Carrick on Suir,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217040002,Carrick on Suir,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217041001,Carrick on Suir,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217041002,Carrick on Suir,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217041003,Carrick on Suir,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217041004/01,Carrick on Suir,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217041004/02,Carrick on Suir,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217041005,Carrick on Suir,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217041006,Carrick on Suir,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217041007,Carrick on Suir,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217041008,Carrick on Suir,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217041009,Carrick on Suir,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217041010,Carrick on Suir,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217041011,Carrick on Suir,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217041012,Carrick on Suir,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217041013,Carrick on Suir,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217041014,Carrick on Suir,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217041015,Carrick on Suir,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217041016,Carrick on Suir,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217041017,Carrick on Suir,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217041018,Carrick on Suir,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217041019,Carrick on Suir,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217042001,Carrick on Suir,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217042002/01,Carrick on Suir,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217042002/02,Carrick on Suir,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217042003,Carrick on Suir,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217042004,Carrick on Suir,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217042005,Carrick on Suir,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217043001,Borrisokane,CHO 3 - 2,North Tipperary,CST 8,Limerick Team 2,E1,HSE Limerick City and Tipperary North,HSE Midwest,MW
217044001,Nenagh East*,CHO 3 - 2,North Tipperary,CST 8,Limerick Team 2,E1,HSE Limerick City and Tipperary North,HSE Midwest,MW
217044002,Nenagh East*,CHO 3 - 2,North Tipperary,CST 8,Limerick Team 2,E1,HSE Limerick City and Tipperary North,HSE Midwest,MW
217045001,Cashel,CHO 5 - 4,Central Tipperary,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217045002,Cashel,CHO 5 - 4,Central Tipperary,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217045003,Cashel,CHO 5 - 4,Central Tipperary,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217045004,Cashel,CHO 5 - 4,Central Tipperary,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217045005,Cashel,CHO 5 - 4,Central Tipperary,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217045006,Cashel,CHO 5 - 4,Central Tipperary,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217045007,Cashel,CHO 5 - 4,Central Tipperary,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217045008,Cashel,CHO 5 - 4,Central Tipperary,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217045009,Cashel,CHO 5 - 4,Central Tipperary,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217045010,Cashel,CHO 5 - 4,Central Tipperary,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217046001,Cashel,CHO 5 - 4,Central Tipperary,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217046002,Cashel,CHO 5 - 4,Central Tipperary,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217046003,Cashel,CHO 5 - 4,Central Tipperary,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217046004,Cashel,CHO 5 - 4,Central Tipperary,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217046005,Cashel,CHO 5 - 4,Central Tipperary,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217046006,Cashel,CHO 5 - 4,Central Tipperary,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217046007,Cashel,CHO 5 - 4,Central Tipperary,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217046008,Cashel,CHO 5 - 4,Central Tipperary,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217046009,Cashel,CHO 5 - 4,Central Tipperary,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217046010,Cashel,CHO 5 - 4,Central Tipperary,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217047001/217047005,Ballina/Killaloe/Newport,CHO 3 - 5,East Limerick and Ballina,CST 8,Limerick Team 2,E1,HSE Limerick City and Tipperary North,HSE Midwest,MW
217047003/217047004/217047002/217047006,Ballina/Killaloe/Newport,CHO 3 - 5,East Limerick and Ballina,CST 8,Limerick Team 2,E1,HSE Limerick City and Tipperary North,HSE Midwest,MW
217047004/217047003/217047005,Ballina/Killaloe/Newport,CHO 3 - 5,East Limerick and Ballina,CST 8,Limerick Team 2,E1,HSE Limerick City and Tipperary North,HSE Midwest,MW
217047005/217047001/217047003/217047004/217047002/217047006,Ballina/Killaloe/Newport,CHO 3 - 5,East Limerick and Ballina,CST 8,Limerick Team 2,E1,HSE Limerick City and Tipperary North,HSE Midwest,MW
217047006/217047002,Ballina/Killaloe/Newport,CHO 3 - 5,East Limerick and Ballina,CST 8,Limerick Team 2,E1,HSE Limerick City and Tipperary North,HSE Midwest,MW
217047007,Ballina/Killaloe/Newport,CHO 3 - 5,East Limerick and Ballina,CST 8,Limerick Team 2,E1,HSE Limerick City and Tipperary North,HSE Midwest,MW
217048001/01,Cahir 1,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217048001/02,Cahir 1,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217048002,Cahir 1,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217048003,Cahir 1,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217048004,Cahir 1,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217048005,Cahir 1,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217049001,Tipperary 1,CHO 5 - 4,Central Tipperary,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217050001,Borrisokane,CHO 3 - 2,North Tipperary,CST 8,Limerick Team 2,E1,HSE Limerick City and Tipperary North,HSE Midwest,MW
217050002,Borrisokane,CHO 3 - 2,North Tipperary,CST 8,Limerick Team 2,E1,HSE Limerick City and Tipperary North,HSE Midwest,MW
217050003,Borrisokane,CHO 3 - 2,North Tipperary,CST 8,Limerick Team 2,E1,HSE Limerick City and Tipperary North,HSE Midwest,MW
217050004,Borrisokane,CHO 3 - 2,North Tipperary,CST 8,Limerick Team 2,E1,HSE Limerick City and Tipperary North,HSE Midwest,MW
217051001,Borrisokane,CHO 3 - 2,North Tipperary,CST 8,Limerick Team 2,E1,HSE Limerick City and Tipperary North,HSE Midwest,MW
217052001,Borrisokane,CHO 3 - 2,North Tipperary,CST 8,Limerick Team 2,E1,HSE Limerick City and Tipperary North,HSE Midwest,MW
217053001,Tipperary 1,CHO 5 - 4,Central Tipperary,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217053002,Tipperary 1,CHO 5 - 4,Central Tipperary,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217053003,Tipperary 1,CHO 5 - 4,Central Tipperary,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217054001,Slieve Ardagh,CHO 5 - 4,Central Tipperary,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217054002,Slieve Ardagh,CHO 5 - 4,Central Tipperary,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217055001,Clonmel 2,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217055002,Clonmel 2,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217055003,Clonmel 2,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217055004,Clonmel 2,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217055005,Clonmel 2,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217055006,Clonmel 2,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217055007,Clonmel 2,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217055008,Clonmel 2,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217055009,Clonmel 2,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217055010,Clonmel 2,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217055011,Clonmel 2,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217055012,Clonmel 2,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217055013,Clonmel 2,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217055014,Clonmel 2,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217055015,Clonmel 2,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217055016,Clonmel 2,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217055017,Clonmel 2,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217055018,Clonmel 2,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217055019,Clonmel 2,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217055020,Clonmel 2,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217055021,Clonmel 2,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217056001,Clonmel 1,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217056002,Clonmel 1,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217056003,Clonmel 1,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217056004,Clonmel 1,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217056005,Clonmel 1,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217056006,Clonmel 1,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217056007,Clonmel 1,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217056008,Clonmel 1,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217056009,Clonmel 1,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217056010,Clonmel 1,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217056011,Clonmel 1,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217056012,Clonmel 1,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217056013,Clonmel 1,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217056014,Clonmel 1,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217056015,Clonmel 1,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217056016,Clonmel 1,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217056017,Clonmel 1,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217056018,Clonmel 1,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217056019,Clonmel 1,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217056020,Clonmel 1,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217056021,Clonmel 1,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217056022,Clonmel 1,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217056023,Clonmel 1,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217056024,Clonmel 1,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217056025,Clonmel 1,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217056026,Clonmel 1,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217057001,Tipperary 1,CHO 5 - 4,Central Tipperary,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217057002,Tipperary 1,CHO 5 - 4,Central Tipperary,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217058001,Tipperary 1,CHO 5 - 4,Central Tipperary,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217058002,Tipperary 1,CHO 5 - 4,Central Tipperary,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217059001,Slieve Ardagh,CHO 5 - 4,Central Tipperary,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217059002,Slieve Ardagh,CHO 5 - 4,Central Tipperary,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217060001,Cahir 1,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217060002,Cahir 1,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217061001,Slieve Ardagh,CHO 5 - 4,Central Tipperary,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217061002,Slieve Ardagh,CHO 5 - 4,Central Tipperary,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217062001,Slieve Ardagh,CHO 5 - 4,Central Tipperary,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217063001,Tipperary 1,CHO 5 - 4,Central Tipperary,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217064001,Tipperary 2,CHO 5 - 4,Central Tipperary,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217065001,Ballina/Killaloe/Newport,CHO 3 - 5,East Limerick and Ballina,CST 8,Limerick Team 2,E1,HSE Limerick City and Tipperary North,HSE Midwest,MW
217065002,Ballina/Killaloe/Newport,CHO 3 - 5,East Limerick and Ballina,CST 8,Limerick Team 2,E1,HSE Limerick City and Tipperary North,HSE Midwest,MW
217066001,Cahir 1,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217066002,Cahir 1,CHO 5 - 5,South Tipperary and North Waterford,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217067001,Nenagh East*,CHO 3 - 2,North Tipperary,CST 8,Limerick Team 2,E1,HSE Limerick City and Tipperary North,HSE Midwest,MW
217068001,Tipperary 2,CHO 5 - 4,Central Tipperary,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217068002,Tipperary 2,CHO 5 - 4,Central Tipperary,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217069001/01,Slieve Ardagh,CHO 5 - 4,Central Tipperary,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217069001/02,Slieve Ardagh,CHO 5 - 4,Central Tipperary,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217069002,Slieve Ardagh,CHO 5 - 4,Central Tipperary,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
217070001,Templemore,CHO 3 - 2,North Tipperary,CST 8,Limerick Team 2,E1,HSE Limerick City and Tipperary North,HSE Midwest,MW
217070002,Templemore,CHO 3 - 2,North Tipperary,CST 8,Limerick Team 2,E1,HSE Limerick City and Tipperary North,HSE Midwest,MW
217070003,Templemore,CHO 3 - 2,North Tipperary,CST 8,Limerick Team 2,E1,HSE Limerick City and Tipperary North,HSE Midwest,MW
217070004,Templemore,CHO 3 - 2,North Tipperary,CST 8,Limerick Team 2,E1,HSE Limerick City and Tipperary North,HSE Midwest,MW
217071001,Tipperary 2,CHO 5 - 4,Central Tipperary,CST 15,Tipperary / Waterford,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
